Tên sản phẩm,Giá gốc,Giá bán,Kích thước màn hình,RAM,Bộ nhớ,Chipset,Pin,Kích thước,Bluetooth,Camera trước,Wi-Fi,Hệ điều hành,Độ phân giải màn hình,Tần số quét,Trọng lượng,Quay video,GPU,Cổng sạc,url,image_url,web
HTC U11 Plus 2 Sim (New 100% - Fullbox),,6.490.000₫,6.0,6GB,128GB,Qualcomm Snapdragon 835 8 nhân 64-bit,3930mAh,Dài 158.5 mm - Ngang 74.9 mm - Dày 8.5 mm,Có,8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,188g,"Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps",Adreno 540,USB Type-C,,,Worldphone
HTC U11 Plus 2 SIM (Nobox -Likenew 99%),,5.390.000₫,6.0,6GB,128GB,Qualcomm Snapdragon 835 8 nhân 64-bit,3930mAh,Dài 158.5 mm - Ngang 74.9 mm - Dày 8.5 mm,Có,8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,188g,"Quay phim FullHD 1080p@120fps, Quay phim 4K 2160p@30fps",Adreno 540,USB Type-C,,,Worldphone
HTC U11 Quốc tế 1 SIM (Nobox - Likenew 99%),,2.890.000₫,5.5,6GB,128GB,Qualcomm Snapdragon 835 8 nhân 64-bit,3000mAh,Dài 153.9 mm - Ngang 75.9 mm - Dày 7.9 mm,"A2DP, LE, v4.2",16MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,169 g,Quay phim 4K 2160p@30fps,Adreno 540,USB Type-C,,,Worldphone
HTC U11 Quốc tế 2 SIM (Nobox - Likenew 99%),,2.690.000₫,5.5,6GB,128GB,Qualcomm Snapdragon 835 8 nhân 64-bit,3000mAh,Dài 153.9 mm - Ngang 75.9 mm - Dày 7.9 mm,"A2DP, LE, v4.2",16MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,169 g,Quay phim 4K 2160p@30fps,Adreno 540,USB Type-C,,,Worldphone
HTC 10 Quốc Tế (Likenew - Nobox),,2.190.000₫,5.2,4GB,32GB,Snapdragon 820 4 nhân 64-bit,3000mAh,Dài 145.9 mm - Ngang 71.9 mm - Dày 9 mm,"apt-X, A2DP, V4.2",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 6.0 (Marshmallow),,,161g,Quay phim 4K 2160p@30fps,Adreno 530,USB Type-C,,,Worldphone
HTC 10 Mỹ (Nobox - Likenew 99%),,2.190.000₫,5.2,4GB,32GB,Snapdragon 820 4 nhân 64-bit,3000mAh,Dài 145.9 mm - Ngang 71.9 mm - Dày 9 mm,"apt-X, A2DP, V4.2",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 6.0 (Marshmallow),,,161g,Quay phim 4K 2160p@30fps,Adreno 530,USB Type-C,,,Worldphone
HTC 10 Evo (Nobox - Likenew 99%),,1.790.000₫,5.5,3GB,32GB,Snapdragon 810 8 nhân 64-bit,3200mAh,Dài 153.6 mm - Ngang 77.3 mm - Dày 8.1 mm,V4.1,8MP,Wi-Fi 802.11 a/b/g/n/ac,Android 7.0 (Nougat),,,174 g,Quay phim 4K 2160p@30fps,Adreno 430,USB Type-C,,,Worldphone
HTC One M9 Quốc Tế (Nobox - Likenew 99%),,1.790.000₫,5,3GB,32GB,Snapdragon 810 8 nhân 64-bit,2840mAh,Dài 144.6 mm - Ngang 69.7 mm - Dày 9.6 mm,"A2DP, EDR, V4.1",4 Ultra pixel,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi hotspot",Android 5.0 (Lollipop),,,157g,Quay phim 4K 2160p@30fps,Adreno 430,Micro USB,,,Worldphone
HTC One M9 Mỹ (Nobox - Likenew 99%),,1.790.000₫,5,3GB,32GB,Snapdragon 810 8 nhân 64-bit,2840mAh,Dài 144.6 mm - Ngang 69.7 mm - Dày 9.6 mm,"A2DP, EDR, V4.1",4 Ultra pixel,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi hotspot",Android 5.0 (Lollipop),,,157g,Quay phim 4K 2160p@30fps,Adreno 430,Micro USB,,,Worldphone
HTC One M8 Mỹ (Nobox - Likenew 99%),,1.790.000₫,5,2GB,16GB,Qualcomm Snapdragon 801 4 nhân 32-bit,2600mAh,Dài 146.36 mm - Ngang 70.6 mm - Dày 9.35 mm,,5MP,,Android 7.0,,,160g,Quay phim FullHD 1080p@30fps,Adreno 330,Micro USB,,,Worldphone
HTC One M7 2 Sim (Nobox - Likenew 99%),,1.490.000₫,4.7,2GB,32GB,Qualcomm APQ8064,2300mAh,Dài 137.4 mm - Ngang 68.2 mm - Dày 9.3 mm,Có,2.1MP,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, Wi-Fi hotspot",Android 4.1.2 (Jelly Bean),,,143g,Quay phim FullHD 1080p@30fps,Adreno 320,Micro USB,,,Worldphone
HTC One M7 (Nobox - Likenew 99%),,1.490.000₫,4.7,2GB,32GB,Qualcomm APQ8064,2300mAh,Dài 137.4 mm - Ngang 68.2 mm - Dày 9.3 mm,Có,2.1MP,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, Wi-Fi hotspot",Android 4.1.2 (Jelly Bean),,,143g,Quay phim FullHD 1080p@30fps,Adreno 320,Micro USB,,,Worldphone
HTC M7 J One (Likenew 99%),,1.490.000₫,4.7,2GB,32GB,Qualcomm APQ8064,2300mAh,Dài 137.4 mm - Ngang 68.2 mm - Dày 9.3 mm,Có,2.1MP,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, Wi-Fi hotspot",Android 4.1.2 (Jelly Bean),,,143g,Quay phim FullHD 1080p@30fps,Adreno 320,Micro USB,,,Worldphone
